OTT,RMSE_MORE,R_2_MORE,RMSE_LESS,R_2_LESS,RMSE_SUM,R_2_PRODUCT,final_score
277,89.60264356017679,0.9464788583234963,30.229878468157636,0.9187971787349938,119.83252202833442,0.43481105237997314,67.72801701584802
278,90.0238090191112,0.9460897331242341,32.70846705933634,0.8949025601429828,122.73227607844754,0.4233290621489342,70.77613675075428
279,91.06918559783611,0.9457837161145073,33.321565486614766,0.9013144811254353,124.39075108445087,0.4262242796733166,71.37239280545796
280,91.1980632155805,0.9450671473319409,34.72615343623116,0.9046059191546215,125.92421665181166,0.4274566677375232,72.09707061437031
281,89.87784257615449,0.9440306454917687,33.679385811595026,0.908185114669923,123.55722838774952,0.42867729001393173,70.59105056085662
282,91.26313065428344,0.9420034250660853,40.77307931373419,0.8719725586895959,132.03620996801763,0.41070056842461866,77.80886348152049
283,90.01114100146934,0.9434879661440181,34.57127455150076,0.9076337726918488,124.5824155529701,0.4281707711003272,71.2398666201135
284,93.89893560808316,0.9384027207551904,44.11721219593079,0.866538765389169,138.01614780401394,0.40658116754051987,81.901381290413
285,91.17993931470009,0.9425201766018001,37.866173169403254,0.8896046160328798,129.04611248410333,0.4192351499045432,74.94544617223173
286,88.37980172974841,0.9437134101700221,37.14588216118243,0.899384827034041,125.52568389093084,0.42438076108773515,72.25499862523915
287,92.80473941716326,0.9393314986853883,38.40726095738694,0.898721756166297,131.2120003745502,0.42209882706042595,75.82756892020038
288,91.78543958521465,0.9418114688549747,38.96108215669626,0.8975892520337445,130.7465217419109,0.4226799259431695,75.482591614713
289,93.10341177879069,0.9391349122443242,40.29667536948254,0.891595449112134,133.40008714827323,0.41866420692968137,77.55024545799104
290,92.68604940106874,0.9406378922788138,37.42898103070098,0.9044106484759096,130.11503043176972,0.42536146306844735,74.7691107201166
291,91.07382900618673,0.9417212413970681,40.956337568618636,0.8884457592667245,132.03016657480538,0.4183341216653103,76.79744280740957
292,90.94319179982409,0.9390672656243803,38.467821411202905,0.9034866269706123,129.411013211027,0.4242173581587437,74.51261506999886
293,91.12061577252759,0.9398638865951543,37.39174939630134,0.9149126847050572,128.51236516882892,0.429946695871051,73.25889838591699
294,89.43158131889312,0.9427957023103289,41.03639013719731,0.897242062307619,130.46797145609042,0.4229579801378398,75.28550177634108
295,91.06675656223678,0.9389000727817152,39.479137190425114,0.9039703944460833,130.5458937526619,0.4243689345689717,75.1462719084906
296,90.64513367704555,0.9410310230555727,39.665179615418516,0.9085760288439684,130.31031329246406,0.42749911497340454,74.6027696880286
297,91.87848488319915,0.9387228649361972,43.76323792262606,0.8980852445479698,135.64172280582522,0.42152657685949774,78.46513171216084
298,93.92387474606448,0.9343795886145145,46.20031255085422,0.8865376982080765,140.1241872969187,0.41418136487146057,82.08736015077675
299,93.89885354037209,0.9346253080849156,40.053275561177784,0.9168365547421609,133.95212910154987,0.42844932371970235,76.56042997717657
300,92.40007429228358,0.9340257953555398,43.20017581673206,0.8975243379139384,135.60025010901563,0.4191554417855103,78.76266736834549
301,89.99486782036809,0.9370019785621887,43.76221065190559,0.9041317782577548,133.7570784722737,0.4235866325542332,77.09936802191095
302,94.51718320278432,0.9318371824597804,46.31062225574954,0.8870671521260853,140.82780545853387,0.4133010778448964,82.62352167199043
303,92.65435124495768,0.931473087786533,44.676844267073704,0.8978558044805881,137.3311955120314,0.41816425929329754,79.90419786287977
304,93.66020566765293,0.9311957801707879,46.19339201642275,0.8966811241500259,139.85359768407568,0.41749283948365123,81.46572207494674
305,94.0669568013003,0.9340354200724077,46.65345876215925,0.8903705550807415,140.72041556345954,0.4158188177174716,82.20621873515051
306,94.47427348064716,0.9300616241148317,48.08616986420993,0.8945979335102887,142.56044334485708,0.4160156034851757,83.25307447363217
